,food_com,food_sci,synonyms_open_tree_of_life,synonyms_wiki_search,synonyms_ncbi,synonyms_all_sources
781354,,alstonia_venenata,Alstonia venenata pubescens; Blaberopus venenatus; Echites venenatus,,"Alstonia venenata R.Br., 1810",
781355,maiden's-tears,silene_vulgaris,Oberna commutata; Silene cucubalus; Silene cucubalus cucubalus; Silene inflata; Silene latifolia; Silene latifolia pubescens; Silene pseudobehen,,"Behen vulgaris Moench, 1794; Silene zawadskii; bladder campion; Zawadskii's campion; maiden's-tears; Silene vulgaris (Moench) Garcke, 1869; Silene zawadskii hort. ex Fenzl, 1851",
781356,bladder_campion,silene_vulgaris,Oberna commutata; Silene cucubalus; Silene cucubalus cucubalus; Silene inflata; Silene latifolia; Silene latifolia pubescens; Silene pseudobehen,,"Behen vulgaris Moench, 1794; Silene zawadskii; bladder campion; Zawadskii's campion; maiden's-tears; Silene vulgaris (Moench) Garcke, 1869; Silene zawadskii hort. ex Fenzl, 1851",
781359,tassel_hyacinth,muscari_comosum,? holzmanni; Bellevalia bouriana; Bellevalia calandriniana; Bellevalia comosa; Bellevalia graeca; Bellevalia graminifolia; Bellevalia holzmannii; Bellevalia holzmannii curta; Bellevalia pharmacusana; Bellevalia pinardii; Bellevalia sartoriana; Bellevalia sartoriana pharmacusana; Bellevalia tenuiflora constricta; Botryanthus charrelii; Comus carnosus; Etheiranthus constrictus; Etheiranthus milleri; Eubotrys comosa; Hyacinthus comosus; Hyacinthus fuliginosus; Hyacinthus monstrosus; Hyacinthus paniculatus; Leopoldia anguliflora; Leopoldia bormaniana; Leopoldia bouviana; Leopoldia calandriniana; Leopoldia clusiana; Leopoldia constricta; Leopoldia curta; Leopoldia graeca; Leopoldia graminifolia; Leopoldia holzmannii; Leopoldia pharmacusana; Leopoldia pinardii; Leopoldia pyramidalis; Leopoldia sartoriana; Leopoldia trojana; Muscari bouvianum; Muscari bulgaricum; Muscari calandrinianum; Muscari charrelii; Muscari charrellii; Muscari comosum; Muscari comosum courtilieri; Muscari comosum courtilleri; Muscari comosum holzmanni; Muscari comosum monstrosum; Muscari constrictum; Muscari courtilieri; Muscari courtilleri; Muscari cousturieri; Muscari cretensium; Muscari curtum; Muscari giennense; Muscari graecum; Muscari graminifolium; Muscari holzmanni; Muscari holzmannii; Muscari longissimum; Muscari monstrosum; Muscari paniculatum; Muscari pharmacusanum; Muscari pinardii; Muscari pyramidale; Muscari sartorianum; Muscari segusianum; Muscari trojanum; Pelotris paniculatus; Scilla comosa; Scilla monstrosa,,"Hyacinthus comosus; Leopoldia comosa; Hyacinthus comosus L., 1753; Leopoldia comosa (L.) Parl., 1847; Muscari comosum (L.) Mill., 1768",
781439,,ferula_songorica,Ferula songorica; Ferula soongarica,,"Ferula songorica; Ferula soongarica; Ferula songarica Pall. ex Willd., 1820",
781440,,ferula_iliensis,Ferula popovii,,"Ferula iliensis Krasn. ex Korovin, 1947",
781441,,ferula_fukanensis,,,"Ferula fukanensis K.M.Shen, 1975",
781443,,ferula_sinkiangensis,,,"Ferula sinkiangensis K.M.Shen, 1975; Feruia sinkiangensis",
781486,,muehlenbeckia_volcanica,Calacinum volcanicum; Muehlenbeckia rupestris nivalis; Polygonum volcanicum; Sarcogonum volcanicum,,"Polygonum volcanicum; Muehlenbeckia volcanica (Benth.) Endl., 1848; Polygonum volcanicum Benth., 1841",
781489,mints,mentha_gentilis,Calamintha arvensis oppr; Dysophylla pumila; Eusteralis crassicaulis pumila; Mentha acutifolia nummularia; Mentha agrestis; Mentha agrestis subrotunda; Mentha agrestris; Mentha albae-carolinae; Mentha alberti; Mentha allionii; Mentha angustifolia; Mentha anomala; Mentha approximata; Mentha arenaria; Mentha arguta; Mentha argutissima; Mentha argutissima recedens; Mentha argutissima subpilosa; Mentha arvensihirsuta; Mentha arvensihirsuta calcarea; Mentha arvensiplicata; Mentha arvensis acuta; Mentha arvensis adrophylloides; Mentha arvensis agrestis; Mentha arvensis albensis; Mentha arvensis albiflora; Mentha arvensis allionii; Mentha arvensis alverniensis; Mentha arvensis ambleodonta; Mentha arvensis angustifolia; Mentha arvensis approximata; Mentha arvensis aquatica; Mentha arvensis araiodonta; Mentha arvensis argutissima; Mentha arvensis arvensis; Mentha arvensis austriaca; Mentha arvensis axioprepa; Mentha arvensis badensis; Mentha arvensis badensis-obtusifolia; Mentha arvensis badensis-parietariifolia; Mentha arvensis badensis-praecox; Mentha arvensis beckeriana; Mentha arvensis borsodensis; Mentha arvensis bracteoligera; Mentha arvensis brevidens; Mentha arvensis caespitosa; Mentha arvensis campeomischos; Mentha arvensis campestris; Mentha arvensis campicola; Mentha arvensis campylocormos; Mentha arvensis confertidens; Mentha arvensis crispa; Mentha arvensis cryptodonta; Mentha arvensis cuneifolia; Mentha arvensis cuneisecta; Mentha arvensis cyrtodonta; Mentha arvensis decipiens; Mentha arvensis deflexa; Mentha arvensis diaphana; Mentha arvensis diffusa; Mentha arvensis distans; Mentha arvensis divaricata; Mentha arvensis divergens; Mentha arvensis dolichophylla; Mentha arvensis domita; Mentha arvensis dubia; Mentha arvensis duftschmidii; Mentha arvensis durolleana; Mentha arvensis exigua; Mentha arvensis foliicoma; Mentha arvensis fontana; Mentha arvensis gallica; Mentha arvensis garonnensis; Mentha arvensis gentiliformis; Mentha arvensis gentilis; Mentha arvensis ginsiensis; Mentha arvensis glaberrima; Mentha arvensis glabrescens; Mentha arvensis glabrior; Mentha arvensis glabriuscula; Mentha arvensis gracilis; Mentha arvensis grossidentata; Mentha arvensis hillebrandtii; Mentha arvensis hirsuta; Mentha arvensis hirsutior; Mentha arvensis hirticalyx; Mentha arvensis hirtipes; Mentha arvensis hispidula; Mentha arvensis holubyana; Mentha arvensis hostii; Mentha arvensis hymenophylla; Mentha arvensis illecebrosa; Mentha arvensis kitaibeliana; Mentha arvensis kolozsvariensis; Mentha arvensis lamprophyllos; Mentha arvensis lanceolata; Mentha arvensis lancifolia; Mentha arvensis lapponica; Mentha arvensis latifolia; Mentha arvensis legitima; Mentha arvensis licaensis; Mentha arvensis longibracteata; Mentha arvensis losarvensis; Mentha arvensis lucorum; Mentha arvensis macrodonta; Mentha arvensis major; Mentha arvensis marrubiastrum; Mentha arvensis melanochroa; Mentha arvensis minor; Mentha arvensis multiflora; Mentha arvensis mutabilis; Mentha arvensis neesiana; Mentha arvensis nemoralis; Mentha arvensis nemorum; Mentha arvensis nobilis; Mentha arvensis nummularia; Mentha arvensis obornyana; Mentha arvensis obtusidentata; Mentha arvensis obtusifolia; Mentha arvensis obtusifolia-praecox; Mentha arvensis obtusifolia-produmbens; Mentha arvensis ocymoides; Mentha arvensis olynthodos; Mentha arvensis pacheri; Mentha arvensis pacheriana; Mentha arvensis palitzensis; Mentha arvensis paludosa; Mentha arvensis palustris; Mentha arvensis parietariifolia; Mentha arvensis parietariifolia-obtusifolia; Mentha arvensis parietariifolia-praecox; Mentha arvensis parviflora; Mentha arvensis parvifolia; Mentha arvensis pascuorum; Mentha arvensis pastoritia; Mentha arvensis pegaia; Mentha arvensis plagensis; Mentha arvensis polymorpha; Mentha arvensis praeclara; Mentha arvensis praecox; Mentha arvensis procumbens; Mentha arvensis prostrata; Mentha arvensis pseudoagrestis; Mentha arvensis pulegiformis; Mentha arvensis pulegioides; Mentha arvensis pumila; Mentha arvensis radicans; Mentha arvensis ramosissima; Mentha arvensis regularis; Mentha arvensis riparia; Mentha arvensis rotundifolia; Mentha arvensis sabranskyi; Mentha arvensis salebrosa; Mentha arvensis salicetorum; Mentha arvensis sativa; Mentha arvensis savensis; Mentha arvensis serpentina; Mentha arvensis setigera; Mentha arvensis silvicola; Mentha arvensis simplex; Mentha arvensis slichoviensis; Mentha arvensis sphenophylla; Mentha arvensis stenodonta; Mentha arvensis styriaca; Mentha arvensis subarguta; Mentha arvensis subcordata; Mentha arvensis subglabra; Mentha arvensis subrotunda; Mentha arvensis suecica; Mentha arvensis sylvatica; Mentha arvensis tenuifolia; Mentha arvensis turfosa; Mentha arvensis uliginosa; Mentha arvensis varians; Mentha arvensis vicearvensis; Mentha arvensis villosa; Mentha arvensis villosissima; Mentha arvensis vulgaris; Mentha arvicola; Mentha atrovirens; Mentha austriaca; Mentha austriaca boraei; Mentha austriaca caespitosa; Mentha austriaca genuina; Mentha austriaca grata; Mentha austriaca multiflora; Mentha austriaca pulchella; Mentha austriaca salicetorum; Mentha badensis; Mentha baguetiana; Mentha barbata; Mentha brachystachya stenodonta; Mentha bracteolata; Mentha campestris; Mentha campicola; Mentha canadensis; Mentha collina; Mentha cuneifolia; Mentha deflexa; Mentha densiflora; Mentha densifoliata; Mentha diffusa; Mentha dissitiflora; Mentha distans; Mentha divaricata; Mentha divergens; Mentha dubia; Mentha duffourii; Mentha duftschmidii; Mentha ehrhartiana; Mentha exigua; Mentha flagellifera; Mentha flexuosa; Mentha florida; Mentha fluviatilis; Mentha fochii; Mentha foliicoma; Mentha fontana; Mentha fontana brevibracteata; Mentha fontana conferta; Mentha fontqueri; Mentha fossicola; Mentha gallica; Mentha gentiliformis; Mentha gentilis; Mentha gintliana; Mentha glabrior; Mentha gracilescens; Mentha graveolens; Mentha hakka; Mentha hillebrandtii; Mentha hispidula; Mentha hostii; Mentha hostii arvina; Mentha intermedia; Mentha jahniana; Mentha joffrei; Mentha kitaibeliana; Mentha lamiifolia; Mentha lamprophyllos; Mentha lanceolata; Mentha lanceolata sublanata; Mentha lapponica; Mentha lapponica parietariifolia; Mentha lata; Mentha lata agraria; Mentha latifolia; Mentha latissima; Mentha laxa; Mentha longibracteata; Mentha maculata; Mentha marrubiastrum; Mentha melissifolia; Mentha minor; Mentha moenchii; Mentha moldavica; Mentha mosana; Mentha multiflora; Mentha multiflora serpentina; Mentha mutabilis; Mentha neesiana; Mentha nemorosa; Mentha nemorum; Mentha nessiana; Mentha nobilis; Mentha nummularia; Mentha obtusata; Mentha obtusodentata; Mentha ocymoides; Mentha odorata; Mentha origanifolia; Mentha ovata; Mentha palitzensis; Mentha paludosa; Mentha palustris; Mentha palustris reflexifolia; Mentha parietariifolia; Mentha parietariifolia ginsiensis; Mentha parvifolia; Mentha parvula; Mentha pascuorum; Mentha penardii; Mentha piersiana; Mentha pilosa; Mentha pilosella; Mentha plagensis; Mentha plicata; Mentha polymorpha; Mentha praeclara; Mentha praecox; Mentha praticola; Mentha procumbens; Mentha procumbens austriaca; Mentha procumbens ehrhartiana; Mentha procumbens major; Mentha procumbens rigida; Mentha procumbens ruralis; Mentha procumbens salebrosa; Mentha procumbens segetalis; Mentha procumbens uliginosa; Mentha prostrata; Mentha pulchella; Mentha pulchella approximata; Mentha pulegiformis; Mentha pumila; Mentha quadrifolia; Mentha rigida; Mentha riparia pilosa; Mentha rothii; Mentha rotundata; Mentha ruderalis; Mentha ruralis; Mentha salebrosa; Mentha sativa; Mentha sativa flexuosa; Mentha sativa gracilis; Mentha sativa humifusa; Mentha sativa parietariifolia; Mentha sativa procumbens; Mentha sativa subrotundifolia; Mentha schreberi; Mentha scrophulariifolia; Mentha segetalis; Mentha serrata; Mentha silvicola; Mentha simplex; Mentha slichoviensis; Mentha slichoviensis campicola; Mentha slichoviensis fossicola; Mentha sparsiflora; Mentha sparsiflora pascuorum; Mentha subcollina; Mentha subcordata; Mentha subfontanea; Mentha subinodora; Mentha sylvatica; Mentha tenuicaulis; Mentha tenuifolia; Mentha thayana; Mentha uliginosa; Mentha vanhaesendonckii; Mentha varians; Mentha verisimilis; Mentha versannii; Mentha verticillata arguta; Mentha verticillata moenchiana; Mentha verticillata obtusata; Mentha verticillata origanifolia; Mentha verticillata rothii; Mentha villosa; Mentha viridula; Pogostemon pumilus,field mint; wild mint; Mentha arvensis,"Mentha gentilis; Mentha villosa; corn mint; field mint; wild mint; Mentha arvensis L., 1753; Mentha villosa Becker, 1827",
781490,ginger_mint,mentha_x_gracilis,? cardiaca; Mentha agardhiana; Mentha arrhenii; Mentha arvensis gentilis; Mentha arvensis gracilis; Mentha arvensis pauliana; Mentha arvensis subgentilis; Mentha arvensis x Mentha spicata; Mentha beckeri; Mentha calvescens; Mentha cantalica; Mentha cardiaca; Mentha cardiaca kmetiana; Mentha cardiaca pergracilis; Mentha ciliata; Mentha cinerea; Mentha comatula; Mentha crepiniana; Mentha cruciata; Mentha dentata; Mentha dentata agraria; Mentha elegans; Mentha elliptica; Mentha elliptica variegata; Mentha gentilis; Mentha gentilis agardhiana; Mentha gentilis arrhenii; Mentha gentilis beckeriana; Mentha gentilis cacosma; Mentha gentilis cardiaca; Mentha gentilis ciliata; Mentha gentilis crispa; Mentha gentilis cuneifolia; Mentha gentilis elliptica; Mentha gentilis friesii; Mentha gentilis geniata; Mentha gentilis gracilis; Mentha gentilis grata; Mentha gentilis gratiosa; Mentha gentilis hackenbruckii; Mentha gentilis heleogeton; Mentha gentilis hercynica; Mentha gentilis hortensis; Mentha gentilis kmetiana; Mentha gentilis legitima; Mentha gentilis nemoricola; Mentha gentilis ovata; Mentha gentilis pauliana; Mentha gentilis pratensis; Mentha gentilis pseudorubra; Mentha gentilis pugetii; Mentha gentilis pusilla; Mentha gentilis reichenbachii; Mentha gentilis resinosa; Mentha gentilis rivalis; Mentha gentilis rubra; Mentha gentilis scandica; Mentha gentilis schierliana; Mentha gentilis stricta; Mentha gentilis variegata; Mentha gentilis vesana; Mentha gracilis; Mentha gracilis cardiaca; Mentha grata; Mentha grata variegata; Mentha heleogeton; Mentha hortensis; Mentha pauciflora; Mentha pauliana; Mentha perdentata; Mentha postelbergensis; Mentha pratensis; Mentha pratensis crispa; Mentha pugetii; Mentha reichenbachii; Mentha resinosa; Mentha resinosa wuerlii; Mentha rhomboidifolia; Mentha riviniana; Mentha rubra crepiniana; Mentha rubra pratensis; Mentha sarntheinii; Mentha strailii; Mentha stricta; Mentha stricta publ; Mentha subgentilis; Mentha subundulata; Mentha variegata; Mentha vegeta; Mentha vesana; Mentha x cardiaca; Mentha x gentilis; Mentha xgentilis; Mentha xgracilis,Mentha gracilis,Mentha arvensis x Mentha spicata; Mentha gracilis; Mentha x cardiaca; Mentha x gentilis; Scotch spearmint; ginger mint; red mint; Mentha x cardiaca J.Gerard ex Baker; Mentha x gentilis auct.; Mentha x gracilis Sole,Mentha gracilis
781598,pondweeds,potamogeton_pectinatus,Buccaferrea pectinata; Coleogeton pectinatus; Potamogeton acifolius art; Potamogeton angustifolius longipedunculatus; Potamogeton angustissimus; Potamogeton balatonicus; Potamogeton borealis; Potamogeton bracteatus; Potamogeton chakassiensis; Potamogeton chakassiensis tenuior; Potamogeton columbianus; Potamogeton diffusus; Potamogeton drupaceus; Potamogeton erhaiensis; Potamogeton exstipulatus; Potamogeton filicaulis; Potamogeton filiformis borealis; Potamogeton flabellatus; Potamogeton helveticus; Potamogeton helveticus balatonicus; Potamogeton interruptus; Potamogeton interruptus diffusus; Potamogeton interruptus ungulatus; Potamogeton intramongolicus art; Potamogeton lanceolatus; Potamogeton leptanthus; Potamogeton livingstonei; Potamogeton lucens longipedunculatus; Potamogeton marinus; Potamogeton marinus angustifolius; Potamogeton marinus caespitosus; Potamogeton marinus setaceus; Potamogeton miniatus; Potamogeton nanus; Potamogeton pectinatus; Potamogeton pectinatus balatonicus; Potamogeton pectinatus brachypus; Potamogeton pectinatus caespitosus; Potamogeton pectinatus chakassiensis; Potamogeton pectinatus coronatus; Potamogeton pectinatus dichotomus; Potamogeton pectinatus diffusus; Potamogeton pectinatus flabellatus; Potamogeton pectinatus foliosus; Potamogeton pectinatus geminatus; Potamogeton pectinatus glaucescens; Potamogeton pectinatus gracilis; Potamogeton pectinatus helveticus; Potamogeton pectinatus interruptus; Potamogeton pectinatus latifolius; Potamogeton pectinatus marinus; Potamogeton pectinatus mongolicus; Potamogeton pectinatus potensus; Potamogeton pectinatus protensis; Potamogeton pectinatus protensus; Potamogeton pectinatus pseudomarinus; Potamogeton pectinatus ramosissimus; Potamogeton pectinatus scoparius; Potamogeton pectinatus setaceus; Potamogeton pectinatus subdrupaceus; Potamogeton pectinatus tenuis; Potamogeton pectinatus ungulatus; Potamogeton pectinatus vaillantii; Potamogeton pectinatus vulgaris; Potamogeton pectinatus zosteraceus; Potamogeton pectinatus zosteroides; Potamogeton pusillus interruptus; Potamogeton siculus; Potamogeton tenuifolius; Potamogeton vaginatus helveticus; Potamogeton vaillantii; Potamogeton zosteraceus; Spirillus interruptus; Spirillus pectiniformis; Stuckenia borealis; Stuckenia chakassiensis; Stuckenia filiformis borealis; Stuckenia helvetica; Stuckenia marina; Stuckenia mongolica; Stuckenia pectinata interrupta; Stuckenia pectinatus; Stuckenia zosteracea,Sago pondweed,"Coleogeton pectinatus; Potamogeton helveticus; Potamogeton pectinatus; sago-pondweed; Potamogeton helveticus (G.Fisch.) W.Koch; Potamogeton pectinatus L., 1753; Stuckenia pectinata (L.) Börner, 1912; Stuchenia pectinata",
782162,barbasco,canella_winterana,Canella alba; Canella canella; Canella laurifolia; Canella obtusifolia; Canella winteriana; Laurus winterana; Laurus winteriana; Winterana canella; Winterana obtusifolia,,"Canella alba; Canella winteriana; Laurus winterana; wild cinnamon; curbana; Canella winterana (L.) Gaertn., 1788; Laurus winterana L., 1753",
782163,,cassia_grandis,Bactyrilobium grande; Bactyrilobium molle; Cassia brasiliana; Cassia brasiliana tomentosa; Cassia brasiliensis; Cassia mollis; Cassia pachycarpa; Cathartocarpus brasilianus; Cathartocarpus erubescens; Cathartocarpus grandis,,"Cassia grandis L.f., 1782",
782164,,conioselinum_vaginatum,,,"Conioselinum vaginatum Thell., 1926",
782172,,penicillium_pedemontanum,Eupenicillium shearii; Penicillium michaelis; Penicillium miczynskii lunzinense; Penicillium miczynskii miczynskii; Penicillium miczynskii var. miczynskii; Penicillium pedemontanum; Penicillium shearii; Penicillium soppii; Penicillium syriacum,,"Penicillium pedemontanum Mosca & A. Fontana, 1963",
782174,,benincasa_cerifera,Benincasa cerifera; Benincasa pruriens; Benincasa vacua; Cucurbita hispida; Cucurbita pruriens; Cucurbita vacua,Cucurbita hispida; white gourd; Benincasa hispida; ash gourd; winter gourd; tallow gourd; ash pumpkin; winter melon; Chinese preserving melon,"Benincasa cerifera; Benincasa pruriens; Cucurbita hispida; Lagenaria siceraria var. hispida; wax gourd; ash gourd; winter melon; Benincasa cerifera Savi; Benincasa hispida (Thunb.) Cogn., 1881; Benincasa pruriens (Parkinson) W.J.de Wilde & Duyfjes; Cucurbita hispida Thunb., 1783; Lagenaria siceraria var. hispida (Thunb.) H.Hara, 1948; Curcurbita hispida",Cucurbita hispida
782201,,goniothalamus_donnaiensis,,,"Goniothalamus donnaiensis Finet & Gagnep., 1906",
783280,,physalis_lancifolia,,,,
783289,common_iceplant,mesembryanthemum_crystallinum,Cryophytum crystallinum; Cryophytum nanum; Cryophytum parvum; Gasoul crystallinum; Mesembryanthemum breve; Mesembryanthemum cristallinum; Mesembryanthemum glaciale; Pentacoilanthus crystallinus; Perapentacoilanthus crystallinus,,"Cryophytum crystallinum; Mesembryanthemum cristallinum; common iceplant; crystalline ice plant; Cryophytum crystallinum (L.) N.E.Br., 1926; Mesembryanthemum crystallinum L., 1753",
783325,,dalbergia_hupeana,,,"Dalbergia hupeana Hance, 1882",
783328,,hopea_utilis,Balanocarpus utilis; Hopea longifolia,,"Balanocarpus utilis; Balanocarpus utilis Bedd., 1873; Hopea utilis (Bedd.) Bole, 1951",
783902,prince's_feather,amaranthus_hypochondriacus,"Amaranthus anardana; Amaranthus atrosanguineus; Amaranthus frumentaceus; Amaranthus hybridus hypochondriacus; Amaranthus hybridus var. erythrostachys Moq., 1849; Amaranthus hypocondriacus; Amaranthus leucocarpus; Amaranthus macrostachyus; Amaranthus monstrosus",,"Amaranthus hybridus var. erythrostachys Moq., 1849; Amaranthus hypocondriacus; grain amaranth; prince's feather; Amaranthus hypochondriacus L., 1753; Amarathus hypochondriacus",
783903,,agaricus_silvaticus,Agaricus ruber; Agaricus rubrus; Agaricus silvaticus; Amanita rubra; Russula rubra f. rubra; Russula rubra hymenocystidiata; Russula rubra poliopus; Russula rubra rubra; Russula rubra subsp. rubra; Russula rubra var. rubra,Agaricus sanguinarius; Psalliota sylvatica var. fuscosquamata; Psalliota sylvatica var. pallida; Psalliota sylvatica var. saturata; Psalliota sylvatica; Psalliota sanguinaria; Psalliota haemorrhoidaria var. straminea; Psalliota sylvatica var. amethystina; Psalliota sylvatica var. latisquamosa; Psalliota amethystina,"Agaricus sylvaticus; Agaricus silvaticus Schaeff., 1774",
783934,,aralia_taibaiensis,Aralia gaoshanica; Aralia taibaiensis; Eleutherococcus mairei,,,
784034,,ceratostomella_fimbriata,Ceratocystis fimbriata f. fimbriata; Ceratocystis fimbriata fimbriata; Ceratocystis moniliformis coffeae; Ceratocystis moniliformis f. coffeae; Ceratostomella fimbriata; Endoconidiophora fimbriata; Endoconidiophora fimbriata f. fimbriata; Endoconidiophora fimbriata fimbriata; Ophiostoma coffeae; Ophiostoma fimbriatum; Rostrella coffeae; Sphaeronaema fimbriatum,,,
784601,katemfe,thaumatococcus_daniellii,Donax danielii; Monostiche daniellii; Phrynium daniellii,,"katemfe; Thaumatococcus daniellii Benth. ex Eichler, 1884",
784616,,lantana_lilacina,Camara lilacina; Camara lilacina albiflora; Camara lilacina grandifolia; Camara lilacina media; Camara lilacina parvifolia; Camara salviifolia; Lantana czermakii; Lantana fucata albiflora; Lantana fucata antillana; Lantana fucata longipes; Lantana fuscata; Lantana inconspicua; Lantana lilacina; Lantana lilacina media; Lantana lilacina mollis; Lantana lilacina parvifolia; Lantana recta,,,
784687,,merulius_tremellosus,Merulius imbricatus; Merulius tremellosus f. tremellosus; Merulius tremellosus subsp. spongiosus; Merulius tremellosus subsp. tremellosus; Merulius tremellosus var. pallidus; Merulius tremellosus var. spongiosus; Phlebia tremellosa; Sesia tremellosa; Xylomyzon tremellosum,Merulius imbricatus; Merulius spongiosus; Merulius tremellosus subsp. spongiosus; Merulius tremellosus var. pallidus; Merulius tremellosus var. spongiosus,"Merulius tremellosus; Merulius tremellosus Schrad., 1794; Phlebia tremellosa (Fr.) Nakasone & Burds., 1984",
784688,,helipterum_sterilescens,Argyrocome sterilescens; Helipterum sterilescens,,,
784692,,syncarpha,Anaxeton; Astelma; Cassiniola; Damironia; Duttonia; Helipterum,,"Syncarpha DC., 1810",
784693,,hapalopilus_mutans,Polyporus mutans; Poria mutans; Poria mutans mutans; Poria mutans var. mutans,Polyporus mutans,"Polyporus mutans; Hapalopilus mutans (Peck) Gilb. & Ryvarden, 1986; Polyporus mutans Peck, 1888; MICH 11778; MICH-11778; MICH11778; MICH:11778",Polyporus mutans
784727,,vinca,,periwinkle genus; periwinkle; periwinkles,"Vinca L., 1753",
784728,,asperula,Asterophyllum; Blepharostemma; Chlorostemma; Cynanchica; Leptunis,,"Asperula L., 1753",
784935,,carphephorus_,,,Carphephorus Cass.,
784950,,achillea_cartilaginea,,,,
784951,,suillus_granulatus,Agaricus granulatus; Boletus boudieri; Boletus campanulatus; Boletus circinans lactifluus; Boletus circinans leptopus; Boletus circinans snellii; Boletus circinans var. lactifluus; Boletus flavorufus; Boletus granulatus; Boletus granulatus albidipes; Boletus granulatus boudieri; Boletus granulatus campanulatus; Boletus granulatus flavorufus; Boletus granulatus granulatus; Boletus granulatus heterosporus; Boletus granulatus lactifluus; Boletus granulatus longisporus; Boletus granulatus mediterraneensis; Boletus granulatus meridionalis; Boletus granulatus pictilis; Boletus granulatus roseobasis; Boletus granulatus rufopunctatus; Boletus granulatus var. albidipes; Boletus granulatus var. boudieri; Boletus granulatus var. campanulatus; Boletus granulatus var. flavorufus; Boletus granulatus var. granulatus; Boletus granulatus var. heterosporus; Boletus granulatus var. lactifluus; Boletus granulatus var. longisporus; Boletus granulatus var. mediterraneensis; Boletus granulatus var. meridionalis; Boletus granulatus var. pictilis; Boletus granulatus var. roseobasis; Boletus granulatus var. rufopunctatus; Boletus granulatus var. violaceopunctatus; Boletus granulatus violaceopunctatus; Boletus heterosporus; Boletus lactifluus; Boletus longisporus; Boletus meridionalis; Boletus miramar; Boletus pictilis; Boletus rufopunctatus; Boletus violaceopunctatus; Gyrodon miramar; Ixocomus granulatus; Ixocomus granulatus f. granulatus; Ixocomus granulatus granulatus; Ixocomus leptopus; Ixocomus pictilis; Leccinum lactifluum; Rostkovites boudieri; Rostkovites granulatus; Suillus granulatus albidipes; Suillus granulatus f. granulatus; Suillus granulatus f. marchandii; Suillus granulatus granulatus; Suillus granulatus leptopus; Suillus granulatus marchandii; Suillus granulatus snellii; Suillus granulatus subsp. albidipes; Suillus granulatus subsp. granulatus; Suillus granulatus subsp. leptopus; Suillus granulatus subsp. snellii; Suillus lactifluus; Suillus roseobasis; Viscipellis boudieri; Viscipellis granulata,weeping bolete; Boletus campanulatus; Boletus flavorufus; Boletus heterosporus; Boletus lactifluus; Boletus longisporus; Boletus meridionalis; Boletus pictilis; Boletus rufopunctatus; Boletus violaceopunctatus; Boletus granulatus var. violaceopunctatus; Boletus granulatus; Suillus lactifluus; Suillus collinitus var. velatipes; Suillus granulatus subsp. albidipes; Suillus granulatus subsp. leptopus; Suillus granulatus subsp. snellii; Suillus granulatus var. albidipes; Suillus granulatus var. snellii; Suillus granulatus var. velatipes; Leccinum lactifluum; Boletus granulatus var. campanulatus; Boletus granulatus var. flavorufus; Boletus granulatus var. heterosporus; Boletus granulatus var. lactifluus; Boletus granulatus var. longisporus; Boletus granulatus var. meridionalis; Boletus granulatus var. pictilis; Boletus granulatus var. rufopunctatus; Ixocomus pictilis,"Boletus granulatus; Boletus granulatus L., 1753; Suillus granulatus (L.) Roussel, 1806",Boletus granulatus
784981,common_rangia,rangia_cuneata,Gnathodon cuneata nasutus; Gnathodon cuneatum; Gnathodon cuneatus; Gnathodon cuneatus nasutus; Gnathodon nasutus; Rangia cyrenoides; Rangia nasuta,,"Gnathodon cuneatus; Common rangia; Gnathodon cuneatus Sowerby, 1832",
785082,,littorina_kurila,Litorina gouldiana; Litorina sitchana; Litorina sitkana; Litorina sitkana atkana; Litorina sulcata; Litorina terebrosa; Litorina terebrosa albida; Litorina terebrosa depressior; Litorina terebrosa fasciata; Litorina terebrosa fusca; Litorina terebrosa laevigata; Littorina castanea; Littorina cincta; Littorina kurila; Littorina kurila costulata; Littorina kurila fasciatus; Littorina kurila fuscus; Littorina kurila griseolacteus; Littorina kurila zonatus; Littorina sitchana; Littorina sitchana castaneus; Littorina sitchana zonatus; Littorina sitchensis; Littorina subtenebrosa,,,
