,food_com,food_sci,synonyms_open_tree_of_life,synonyms_wiki_search,synonyms_ncbi,synonyms_all_sources
146352,common_buckthorn,rhamnus_cathartica,Cervispina cathartica; Rhamnus cathartica caucasica; Rhamnus cathartica hydriensis; Rhamnus cathartica pubescens; Rhamnus cathartica silvatica; Rhamnus catharticus; Rhamnus elbursensis; Rhamnus hydriensis; Rhamnus solutina; Rhamnus spinosa; Rhamnus sylvaticus; Rhamnus wichellii; Rhamnus wicklia; Rhamnus wihhor; Rhamnus xanthocarpa,Buckthorn; Common Buckthorn; Purging Buckthorn; European buckthorn,"common buckthorn; Rhamnus cathartica L., 1753; Rhamnus catharticus; Rhamnus cathatica; Rhamus cathartica",
146375,,nocardia_globerula,"""Proactinomyces globerulus"" (Gray 1928) Reed 1939; Mycobacterium globerulum; Nocardia globea; Nocardia globosa; Proactinomyces globerulus",,"""Proactinomyces globerulus"" (Gray 1928) Reed 1939; Mycobacterium globerulum; Nocardia globea; Nocardia globosa; ""Mycobacterium globerulum"" Gray 1928; Nocardia globerula (Gray 1928) Waksman and Henrici 1948; ATCC 19370; ATCC:19370; DSM 44596; DSM:44596; JCM 7475; JCM:7475",
146380,,xanthobacter_sp.,,Xanthobacter sp. SoF1; Xanthobacter sp. VTT-E-193585,,
146383,,exophiala_jeanselmei,Exophiala jeanselmei jeanselmei; Exophiala lecanii-corni; Margarinomyces heteromorphus; Phialophora heteromorpha; Phialophora jeanselmei; Pullularia jeanselmei; Torula jeanselmei; Torula lecanii-corni; Trichosporum heteromorphum; Wangiella heteromorpha,,"Phialophora jeanselmei; Pullularia jeanselmei; Torula jeanselmei; Exophiala jeanselmei (Langeron) McGinnis & A.A. Padhye, 1977; Torula jeanselmei Langeron, 1928; CBS 507.90; CBS:507.90; Exophiala jeanselmii",
146387,,ilyonectria_destructans,Coleomyces rufus; Cylindrocarpon destructans; Cylindrocarpon destructans destructans; Cylindrocarpon destructans var. destructans; Cylindrocarpon destructrans; Cylindrocarpon radicicola; Cylindrocarpon radicicola violaceum; Ilyonectria radicicola; Ilyonectria sp. CSS-2014a; Nectria radicicola; Neonectria radicicola; Neonectria radicicola var. radicicola; Orcheomyces hircini; Ramularia destructans,,"Cylindrocarpon destructans; Cylindrocarpon destructans var. destructans; Cylindrocarpon radicicola; Ilyonectria radicicola; Nectria radicicola; Neonectria radicicola; Neonectria radicicola var. radicicola; Ramularia destructans; Cylindrocarpon destructans (Zinssm.) Scholten, 1964; Cylindrocarpon radicicola Wollenw., 1924; Ilyonectria destructans (Zinssm.) Rossman, L. Lombard & Crous, 2015; Ilyonectria radicicola (Gerlach & L. Nilsson) P. Chaverri & C. Salgado 2011; Nectria radicicola Gerlach & L. Nilsson, 1963; Neonectria radicicola (Gerlach & L. Nilsson) Mantiri & Samuels, 2001; Ramularia destructans Zinssm., 1918",
146395,labdanum,cistus_ladaniferus,Cistus ladaniferus,,,
147556,,polypodium_aureum,,Polypodium leucotomos,"Polypodium aureum L., 1753",
147559,,haloarcula_vallismortis,Halobacterium vallismortis,,Halobacterium vallismortis; Haloarcula vallismortis (Gonzlez et al. 1979) Torreblanca et al. 1986; Halobacterium vallismortis Gonzlez et al. 1979 (Approved Lists 1980); ATCC 29715; ATCC:29715; CGMCC 1.2048; CGMCC:1.2048; DSM 3756; DSM:3756; IFO 14741; IFO:14741; JCM 8877; JCM:8877; NBRC 14741; NBRC:14741; VKM B-1791; VKM:B-1791; culture-collection:VKM:B:1791; personal::J. F. 54; strain J. F. 54,
147561,,pyrococcus_woesei,Pyrococcus furiosus subsp. woesei,P. woesei,"Pyrococcus furiosus subsp. woesei; Pyrococcus woesei Zillig et al. 1988; ""Pyrococcus furiosus subsp. woesei"" Kanoksilapatham et al. 2004; ATCC 49860; ATCC:49860; DSM 3773; DSM:3773; JCM 8421; JCM:8421",
147565,,methanothermus_sociabilis,,M. sociabilis,Methanothermus sociabilis Stetter 1986; DSM 3496; DSM:3496; JCM 10723; JCM:10723; OCM 173; OCM:173; personal::Kf1-Fl; strain Kf1-Fl,
147567,brain-eating_amoeba,naegleria_fowleri,,Brain eating bacteria; brain-eating amoeba,brain-eating amoeba; Naegleria fowleri Carter 1970,
147584,,streptococcus_suis,,,Streptococcus suis (ex Elliott 1966) Kilpper-Bälz and Schleifer 1987; ATCC 43765; ATCC:43765; BCCM/LMG:14181; CCUG 7984; CCUG:7984; CIP 103217; CIP:103217; DSM 9682; DSM:9682; LMG 14181; LMG:14181; NCTC 10234; NCTC:10234; S735; personal::Henrichsen S735; strain Henrichsen S735; strain S735,
147585,,streptococcus_sanguis,,,Streptococcus sanguinis corrig. White and Niven 1946 (Approved Lists 1980) emend. Kilian et al. 1989; ATCC 10556; ATCC:10556; BCCM/LMG:14702; CCUG 17826; CCUG 35770; CCUG:17826; CCUG:35770; CIP 55.128; CIP:55.128; DSM 20567; DSM:20567; JCM 5708; JCM:5708; LMG 14702; LMG:14702; NCTC 7863; NCTC:7863; personal::SK1; strain SK1; Streptococcus sanguiinis; Streptococcus sanguis,
147587,,cyanophora_paradoxa,,,"Cyanophora paradoxa Korshikov, 1924; CCAP 981/1; CCAP-981/1; CCAP981/1; CCAP:981/1; TNS AL-57397; TNS-AL-57397; TNS:AL-57397; TNSAL-57397",
